question_id,category,question,ground_truth,hallucination_detected,flagged_claims_count,precision_at_5,reciprocal_rank,ndcg_at_10,latency_ms,error,error_message
Q001,factual_lookup,What is the battery capacity of the iPhone 13 47 Ultra?,4422,true,1,0.0,0.0,0.0,1244,false,
Q002,factual_lookup,How much RAM does the Xiaomi Mi 11 have?,8,true,1,0.0,0.0,0.0,524,false,
Q003,factual_lookup,What is the storage capacity of the Apple iPhone 13 Mini?,128,true,1,0.0,0.0,0.0,605,false,
Q004,factual_lookup,What is the price of the 8 Pro 56+?,299,true,1,0.0,0.0,0.0,5781,false,
Q005,factual_lookup,What chipset does the Black Shark 5 83s use?,Snapdragon 8 Gen 3,true,1,0.0,0.0,0.0,2699,false,
Q006,factual_lookup,What is the main camera specification of the Oppo A1 87 Pro?,50MP+2MP,true,1,0.0,0.0,0.0,2889,false,
Q007,factual_lookup,What is the display size of the HTC Desire 22 Pro?,6.6,true,1,0.0,0.0,0.0,731,false,
Q008,factual_lookup,What year was the Vivo X70 Pro+ released?,2021,true,1,0.0,0.0,0.0,547,false,
Q009,factual_lookup,What operating system does the Nova 6 30 5G run?,Android 10,true,2,0.0,0.0,0.0,806,false,
Q010,factual_lookup,How much does the Samsung Galaxy A03s weigh?,185,false,0,0.2,0.5,0.6309297535714574,867,false,
Q011,factual_lookup,What is the battery capacity of the Y12 21 Max?,6000,true,1,0.0,0.0,0.0,612,false,
Q012,factual_lookup,How much RAM does the TCL 10 25 Plus have?,4,true,1,0.0,0.0,0.0,680,false,
Q013,factual_lookup,What is the storage capacity of the Redmi 11 27?,64,true,1,0.0,0.0,0.0,526,false,
Q014,factual_lookup,What is the price of the Xperia 10 41 Neo?,229,true,1,0.0,0.0,0.0,597,false,
Q015,factual_lookup,What chipset does the Huawei Mate 60 Pro+ use?,Kirin 9000S,true,1,0.0,0.0,0.0,522,false,
Q016,factual_lookup,What is the main camera specification of the Redmi 12 17 5G?,13MP+2MP+2MP,true,1,0.0,0.0,0.0,559,false,
Q017,factual_lookup,What is the display size of the Narzo 50 62 Max?,6.6,true,1,0.0,0.0,0.0,608,false,
Q018,factual_lookup,What year was the Google Pixel 8 released?,2023,true,1,0.0,0.0,0.0,471,false,
Q019,factual_lookup,What operating system does the Google Pixel 9 Pro XL run?,Android 14,true,1,0.0,0.0,0.0,505,false,
Q020,factual_lookup,How much does the Samsung Galaxy A05s weigh?,185,false,0,0.4,1.0,1.5,568,false,
Q021,factual_lookup,What is the battery capacity of the Tecno Spark 20 Pro?,5000,true,1,0.0,0.0,0.0,1237,false,
Q022,factual_lookup,How much RAM does the iPhone 11 17s have?,12,true,1,0.0,0.0,0.0,646,false,
Q023,factual_lookup,What is the storage capacity of the Xperia L 49 Lite?,64,true,1,0.0,0.0,0.0,544,false,
Q024,factual_lookup,What is the price of the Zenfone 9 42 SE?,499,true,1,0.0,0.0,0.0,520,false,
Q025,factual_lookup,What chipset does the Apple iPhone 12 use?,Apple A14,true,1,0.0,0.0,0.0,759,false,
Q026,factual_lookup,What is the main camera specification of the Oppo A7 76 SE?,50MP+8MP+2MP,true,1,0.0,0.0,0.0,529,false,
Q027,factual_lookup,What is the display size of the Nokia 9 PureView?,5.8,true,1,0.0,0.0,0.0,519,false,
Q028,factual_lookup,What year was the X90 75 released?,2023,false,0,0.0,0.0,0.0,502,false,
Q029,factual_lookup,What operating system does the Pixel 6 90 Plus run?,Android 14,true,1,0.0,0.0,0.0,751,false,
Q030,factual_lookup,How much does the POCO F5 43 Neo weigh?,204,true,1,0.0,0.0,0.0,521,false,
Q031,factual_lookup,What is the battery capacity of the Magic 4 93s?,5000,true,1,0.0,0.0,0.0,679,false,
Q032,factual_lookup,How much RAM does the Infinix Hot 30 have?,8,true,1,0.0,0.0,0.0,521,false,
