question_id,category,question,ground_truth,hallucination_detected,flagged_claims_count,precision_at_5,reciprocal_rank,ndcg_at_10,latency_ms,error,error_message
Q001,factual_lookup,What is the battery capacity of the iPhone 13 47 Ultra?,4422,true,3,0.0,0.0,0.0,1300,false,
Q002,factual_lookup,How much RAM does the Xiaomi Mi 11 have?,8,false,0,0.0,0.0,0.0,603,false,
Q003,factual_lookup,What is the storage capacity of the Apple iPhone 13 Mini?,128,true,1,0.0,0.0,0.0,499,false,
Q004,factual_lookup,What is the price of the 8 Pro 56+?,299,true,4,0.0,0.0,0.0,1327,false,
Q005,factual_lookup,What chipset does the Black Shark 5 83s use?,Snapdragon 8 Gen 3,true,1,0.0,0.0,0.0,423,false,
Q006,factual_lookup,What is the main camera specification of the Oppo A1 87 Pro?,50MP+2MP,true,1,0.0,0.0,0.0,734,false,
Q007,factual_lookup,What is the display size of the HTC Desire 22 Pro?,6.6,false,0,0.0,0.0,0.0,418,false,
Q008,factual_lookup,What year was the Vivo X70 Pro+ released?,2021,false,0,0.0,0.0,0.0,427,false,
Q009,factual_lookup,What operating system does the Nova 6 30 5G run?,Android 10,true,2,0.0,0.0,0.0,477,false,
Q010,factual_lookup,How much does the Samsung Galaxy A03s weigh?,185,false,0,0.0,0.0,0.0,433,false,
Q011,factual_lookup,What is the battery capacity of the Y12 21 Max?,6000,true,4,0.0,0.0,0.0,1924,false,
Q012,factual_lookup,How much RAM does the TCL 10 25 Plus have?,4,true,1,0.0,0.0,0.0,560,false,
Q013,factual_lookup,What is the storage capacity of the Redmi 11 27?,64,true,2,0.0,0.0,0.0,1593,false,
Q014,factual_lookup,What is the price of the Xperia 10 41 Neo?,229,true,3,0.0,0.0,0.0,1733,false,
Q015,factual_lookup,What chipset does the Huawei Mate 60 Pro+ use?,Kirin 9000S,true,1,0.0,0.0,0.0,458,false,
Q016,factual_lookup,What is the main camera specification of the Redmi 12 17 5G?,13MP+2MP+2MP,true,3,0.0,0.0,0.0,1169,false,
Q017,factual_lookup,What is the display size of the Narzo 50 62 Max?,6.6,true,3,0.0,0.0,0.0,1917,false,
Q018,factual_lookup,What year was the Google Pixel 8 released?,2023,true,3,0.0,0.0,0.0,1067,false,
Q019,factual_lookup,What operating system does the Google Pixel 9 Pro XL run?,Android 14,true,5,0.0,0.0,0.0,1790,false,
Q020,factual_lookup,How much does the Samsung Galaxy A05s weigh?,185,false,0,0.0,0.0,0.0,400,false,
Q021,factual_lookup,What is the battery capacity of the Tecno Spark 20 Pro?,5000,true,2,0.0,0.0,0.0,868,false,
Q022,factual_lookup,How much RAM does the iPhone 11 17s have?,12,true,4,0.0,0.0,0.0,1026,false,
Q023,factual_lookup,What is the storage capacity of the Xperia L 49 Lite?,64,false,0,0.0,0.0,0.0,701,false,
Q024,factual_lookup,What is the price of the Zenfone 9 42 SE?,499,true,4,0.0,0.0,0.0,1245,false,
Q025,factual_lookup,What chipset does the Apple iPhone 12 use?,Apple A14,true,2,0.0,0.0,0.0,490,false,
Q026,factual_lookup,What is the main camera specification of the Oppo A7 76 SE?,50MP+8MP+2MP,true,3,0.0,0.0,0.0,891,false,
Q027,factual_lookup,What is the display size of the Nokia 9 PureView?,5.8,false,0,0.0,0.0,0.0,441,false,
Q028,factual_lookup,What year was the X90 75 released?,2023,false,0,0.0,0.0,0.0,630,false,
Q029,factual_lookup,What operating system does the Pixel 6 90 Plus run?,Android 14,true,2,0.0,0.0,0.0,572,false,
Q030,factual_lookup,How much does the POCO F5 43 Neo weigh?,204,true,3,0.0,0.0,0.0,1559,false,
Q031,factual_lookup,What is the battery capacity of the Magic 4 93s?,5000,true,3,0.0,0.0,0.0,830,false,
Q032,factual_lookup,How much RAM does the Infinix Hot 30 have?,8,false,0,0.0,0.0,0.0,1079,false,
Q033,factual_lookup,What is the storage capacity of the Edge 50 29 SE?,256,true,1,0.0,0.0,0.0,967,false,
Q034,factual_lookup,What is the price of the iQOO 11 77s?,699,true,1,0.0,0.0,0.0,1917,false,
Q035,factual_lookup,What chipset does the Play 5 92 Ultra use?,Dimensity 7050,true,2,0.0,0.0,0.0,753,false,
Q036,factual_lookup,What is the main camera specification of the Nokia 7 98 Pro?,48MP+5MP+2MP,true,3,0.0,0.0,0.0,1443,false,
Q037,factual_lookup,What is the display size of the Moto E40 24 Ultra?,6.6,true,2,0.0,0.0,0.0,993,false,
Q038,factual_lookup,What year was the Samsung Galaxy S22 Ultra released?,2022,true,2,0.0,0.0,0.0,835,false,
Q039,factual_lookup,What operating system does the Zero 30 48 run?,Android 12,true,1,0.0,0.0,0.0,1687,false,
Q040,factual_lookup,How much does the Find X5 54 Pro weigh?,186,false,0,0.0,0.0,0.0,606,false,
Q041,factual_lookup,What is the battery capacity of the Samsung Galaxy A50s?,4000,false,0,0.0,0.0,0.0,451,false,
Q042,factual_lookup,How much RAM does the X90 25 Max have?,8,false,0,0.0,0.0,0.0,553,false,
Q043,factual_lookup,What is the storage capacity of the iQOO Neo 9 37 SE?,128,true,2,0.0,0.0,0.0,959,false,
Q044,factual_lookup,What is the price of the Oppo A7 5 Ultra?,299,true,3,0.0,0.0,0.0,1602,false,
Q045,factual_lookup,What chipset does the TCL 30 5G use?,Snapdragon 480+,true,1,0.0,0.0,0.0,483,false,
Q046,factual_lookup,What is the main camera specification of the Honor Magic 2?,16MP+24MP+16MP,false,0,0.0,0.0,0.0,1178,false,
Q047,factual_lookup,What is the display size of the TCL 40 94 5G?,6.74,true,2,0.0,0.0,0.0,1047,false,
Q048,factual_lookup,What year was the iQOO Z9 88 Pro released?,2024,true,1,0.0,0.0,0.0,1133,false,
Q049,factual_lookup,What operating system does the Xperia 10 22 Pro run?,Android 13,true,2,0.0,0.0,0.0,637,false,
Q050,factual_lookup,How much does the TCL 50 XE weigh?,190,true,2,0.0,0.0,0.0,1124,false,
Q051,two_device_comparison,Which phone is cheaper: the Reno 8 78 Neo or the Samsung Galaxy A12?,Samsung Galaxy A12 (179),true,3,0.0,0.0,0.0,1442,false,
Q052,two_device_comparison,Which phone is newer: the U23 Pro 86 SE or the X7 50 SE?,U23 Pro 86 SE (2023),true,2,0.0,0.0,0.0,801,false,
