question_id,category,question,ground_truth,hallucination_detected,flagged_claims_count,precision_at_5,reciprocal_rank,ndcg_at_10,latency_ms,error,error_message
Q001,factual_lookup,What is the battery capacity of the iPhone 13 47 Ultra?,4422,false,0,0.0,0.0,0.0,549,false,
Q002,factual_lookup,How much RAM does the Xiaomi Mi 11 have?,8,true,14,0.0,0.0,0.0,2261,false,
Q003,factual_lookup,What is the storage capacity of the Apple iPhone 13 Mini?,128,true,1,0.0,0.0,0.0,2789,false,
Q004,factual_lookup,What is the price of the 8 Pro 56+?,299,false,0,0.0,0.0,0.0,487,false,
Q005,factual_lookup,What chipset does the Black Shark 5 83s use?,Snapdragon 8 Gen 3,false,0,0.0,0.0,0.0,542,false,
Q006,factual_lookup,What is the main camera specification of the Oppo A1 87 Pro?,50MP+2MP,true,1,0.0,0.0,0.0,2517,false,
Q007,factual_lookup,What is the display size of the HTC Desire 22 Pro?,6.6,false,0,0.0,0.0,0.0,570,false,
Q008,factual_lookup,What year was the Vivo X70 Pro+ released?,2021,false,0,0.0,0.0,0.0,536,false,
Q009,factual_lookup,What operating system does the Nova 6 30 5G run?,Android 10,false,0,0.0,0.0,0.0,548,false,
Q010,factual_lookup,How much does the Samsung Galaxy A03s weigh?,185,false,0,0.2,0.5,0.6309297535714574,665,false,
Q011,factual_lookup,What is the battery capacity of the Y12 21 Max?,6000,false,0,0.0,0.0,0.0,503,false,
Q012,factual_lookup,How much RAM does the TCL 10 25 Plus have?,4,false,0,0.0,0.0,0.0,543,false,
Q013,factual_lookup,What is the storage capacity of the Redmi 11 27?,64,false,0,0.0,0.0,0.0,546,false,
Q014,factual_lookup,What is the price of the Xperia 10 41 Neo?,229,false,0,0.0,0.0,0.0,581,false,
Q015,factual_lookup,What chipset does the Huawei Mate 60 Pro+ use?,Kirin 9000S,true,1,0.0,0.0,0.0,863,false,
Q016,factual_lookup,What is the main camera specification of the Redmi 12 17 5G?,13MP+2MP+2MP,false,0,0.0,0.0,0.0,583,false,
Q017,factual_lookup,What is the display size of the Narzo 50 62 Max?,6.6,true,1,0.0,0.0,0.0,1561,false,
Q018,factual_lookup,What year was the Google Pixel 8 released?,2023,false,0,0.0,0.0,0.0,574,false,
Q019,factual_lookup,What operating system does the Google Pixel 9 Pro XL run?,Android 14,false,0,0.0,0.0,0.0,499,false,
Q020,factual_lookup,How much does the Samsung Galaxy A05s weigh?,185,false,0,0.4,1.0,1.5,532,false,
Q021,factual_lookup,What is the battery capacity of the Tecno Spark 20 Pro?,5000,true,1,0.0,0.0,0.0,1366,false,
Q022,factual_lookup,How much RAM does the iPhone 11 17s have?,12,false,0,0.0,0.0,0.0,728,false,
Q023,factual_lookup,What is the storage capacity of the Xperia L 49 Lite?,64,false,0,0.0,0.0,0.0,627,false,
Q024,factual_lookup,What is the price of the Zenfone 9 42 SE?,499,false,0,0.0,0.0,0.0,540,false,
Q025,factual_lookup,What chipset does the Apple iPhone 12 use?,Apple A14,false,0,0.0,0.0,0.0,4741,false,
Q026,factual_lookup,What is the main camera specification of the Oppo A7 76 SE?,50MP+8MP+2MP,true,1,0.0,0.0,0.0,4375,false,
Q027,factual_lookup,What is the display size of the Nokia 9 PureView?,5.8,true,1,0.0,0.0,0.0,722,false,
Q028,factual_lookup,What year was the X90 75 released?,2023,false,0,0.0,0.0,0.0,580,false,
Q029,factual_lookup,What operating system does the Pixel 6 90 Plus run?,Android 14,false,0,0.0,0.0,0.0,517,false,
Q030,factual_lookup,How much does the POCO F5 43 Neo weigh?,204,false,0,0.0,0.0,0.0,511,false,
Q031,factual_lookup,What is the battery capacity of the Magic 4 93s?,5000,false,0,0.0,0.0,0.0,844,false,
Q032,factual_lookup,How much RAM does the Infinix Hot 30 have?,8,false,0,0.0,0.0,0.0,500,false,
Q033,factual_lookup,What is the storage capacity of the Edge 50 29 SE?,256,false,0,0.0,0.0,0.0,579,false,
Q034,factual_lookup,What is the price of the iQOO 11 77s?,699,false,0,0.0,0.0,0.0,1048,false,
Q035,factual_lookup,What chipset does the Play 5 92 Ultra use?,Dimensity 7050,true,1,0.0,0.0,0.0,1251,false,
Q036,factual_lookup,What is the main camera specification of the Nokia 7 98 Pro?,48MP+5MP+2MP,false,0,0.0,0.0,0.0,4770,false,
Q037,factual_lookup,What is the display size of the Moto E40 24 Ultra?,6.6,false,0,0.0,0.0,0.0,885,false,
Q038,factual_lookup,What year was the Samsung Galaxy S22 Ultra released?,2022,false,0,0.0,0.0,0.0,473,false,
Q039,factual_lookup,What operating system does the Zero 30 48 run?,Android 12,false,0,0.0,0.0,0.0,511,false,
Q040,factual_lookup,How much does the Find X5 54 Pro weigh?,186,false,0,0.0,0.0,0.0,547,false,
Q041,factual_lookup,What is the battery capacity of the Samsung Galaxy A50s?,4000,false,0,0.0,0.0,0.0,2286,false,
Q042,factual_lookup,How much RAM does the X90 25 Max have?,8,true,1,0.0,0.0,0.0,3902,false,
Q043,factual_lookup,What is the storage capacity of the iQOO Neo 9 37 SE?,128,true,1,0.0,0.0,0.0,2331,false,
Q044,factual_lookup,What is the price of the Oppo A7 5 Ultra?,299,false,0,0.0,0.0,0.0,498,false,
Q045,factual_lookup,What chipset does the TCL 30 5G use?,Snapdragon 480+,true,1,0.0,0.0,0.0,830,false,
Q046,factual_lookup,What is the main camera specification of the Honor Magic 2?,16MP+24MP+16MP,true,1,0.0,0.0,0.0,831,false,
Q047,factual_lookup,What is the display size of the TCL 40 94 5G?,6.74,false,0,0.0,0.0,0.0,634,false,
Q048,factual_lookup,What year was the iQOO Z9 88 Pro released?,2024,false,0,0.0,0.0,0.0,569,false,
Q049,factual_lookup,What operating system does the Xperia 10 22 Pro run?,Android 13,false,0,0.0,0.0,0.0,495,false,
Q050,factual_lookup,How much does the TCL 50 XE weigh?,190,false,0,0.0,0.0,0.0,473,false,
Q051,two_device_comparison,Which phone is cheaper: the Reno 8 78 Neo or the Samsung Galaxy A12?,Samsung Galaxy A12 (179),false,0,0.2,0.25,0.2640681225725909,583,false,
Q052,two_device_comparison,Which phone is newer: the U23 Pro 86 SE or the X7 50 SE?,U23 Pro 86 SE (2023),false,0,0.0,0.0,0.0,523,false,
Q053,two_device_comparison,Which phone has more RAM: the Camon 20 92 5G or the Blade V50 6 Plus?,Blade V50 6 Plus (8),true,1,0.0,0.0,0.0,2018,false,
Q054,two_device_comparison,Which phone has more storage: the Huawei Mate 40 Pro or the Pixel 7a 11 SE?,Huawei Mate 40 Pro (256),false,0,0.0,0.16666666666666666,0.2184074368181642,534,false,
Q055,two_device_comparison,Which phone is cheaper: the Realme 12 Pro+ or the Nord N2 66 5G?,Nord N2 66 5G (249),false,0,0.0,0.0,0.0,480,false,
Q056,two_device_comparison,Which phone is newer: the Zenfone 9 22 or the Nokia X3 40?,Zenfone 9 22 (2023),false,0,0.0,0.0,0.0,583,false,
Q057,two_device_comparison,Which phone is cheaper: the Fairphone 5 66+ or the C35 25 SE?,C35 25 SE (129),false,0,0.0,0.0,0.0,540,false,
Q058,two_device_comparison,Which phone has a bigger battery: the Xiaomi Redmi Note 12 or the OnePlus 10 29s?,Xiaomi Redmi Note 12 (5000),false,0,0.0,0.0,0.0,537,false,
Q059,two_device_comparison,Which phone has more RAM: the Magic 4 33 Max or the OnePlus 10 84s?,OnePlus 10 84s (16),false,0,0.0,0.0,0.0,5014,false,
Q060,two_device_comparison,Which phone has more RAM: the Razr 40 58 Ultra or the iPhone 11 17s?,Razr 40 58 Ultra (16),false,0,0.0,0.0,0.0,557,false,
Q061,two_device_comparison,Which phone is cheaper: the Fairphone 5 72 Neo or the Find X8 13 Neo?,Fairphone 5 72 Neo (349),false,0,0.0,0.0,0.0,648,false,
Q062,two_device_comparison,Which phone is cheaper: the Realme GT Neo 5 or the Hot 40 19 Pro?,Hot 40 19 Pro (229),false,0,0.0,0.0,0.0,1507,false,
Q063,two_device_comparison,Which phone has more storage: the Samsung Galaxy A31 or the Nokia XR 24 Ultra?,Nokia XR 24 Ultra (256),false,0,0.0,0.0,0.0,520,false,
Q064,two_device_comparison,Which phone is newer: the Play 6 33 Neo or the Axon 40 80?,Axon 40 80 (2022),false,0,0.0,0.0,0.0,480,false,
Q065,two_device_comparison,Which phone is cheaper: the Itel P40 or the POCO M5 16+?,Itel P40 (99),false,0,0.0,0.0,0.0,577,false,
Q066,two_device_comparison,Which phone has more storage: the Xperia Pro 84s or the Moto G50 99+?,Xperia Pro 84s (256),false,0,0.0,0.0,0.0,602,false,
Q067,two_device_comparison,Which phone has a bigger battery: the Xperia Pro 56+ or the Motorola Moto G54?,Motorola Moto G54 (6000),false,0,0.0,0.0,0.0,542,false,
Q068,two_device_comparison,Which phone is newer: the POCO X6 29 5G or the Moto G100 78 Lite?,Moto G100 78 Lite (2023),false,0,0.0,0.0,0.0,684,false,
Q069,two_device_comparison,Which phone is cheaper: the Oppo A7 74 Ultra or the C25 29 5G?,C25 29 5G (129),false,0,0.0,0.0,0.0,573,false,
Q070,two_device_comparison,Which phone has more storage: the Asus ROG Phone 5s or the iQOO Z5 65 Plus?,Asus ROG Phone 5s (512),false,0,0.0,0.0,0.0,620,false,
Q071,two_device_comparison,Which phone has more storage: the OnePlus Nord N 46 SE or the P30 Lite 39 Pro?,P30 Lite 39 Pro (128),false,0,0.0,0.0,0.0,474,false,
Q072,two_device_comparison,Which phone has a bigger battery: the Realme 9 Pro+ or the Mate 60 25 SE?,Mate 60 25 SE (5400),true,2,0.0,0.0,0.0,1416,false,
Q073,two_device_comparison,Which phone is newer: the U23 Pro 29 Pro or the iQOO 10 79 Ultra?,iQOO 10 79 Ultra (2022),true,2,0.0,0.0,0.0,4002,false,
Q074,two_device_comparison,Which phone is newer: the U23 Pro 15 5G or the P30 Lite 5 Max?,P30 Lite 5 Max (2023),false,0,0.0,0.0,0.0,534,false,
Q075,two_device_comparison,Which phone has a bigger battery: the Nokia 7 92 Neo or the OnePlus 12 4 Lite?,Nokia 7 92 Neo (5000),false,0,0.0,0.0,0.0,569,false,
Q076,two_device_comparison,Which phone has more storage: the Oppo A54s or the X80 88+?,X80 88+ (256),false,0,0.0,0.0,0.0,494,false,
Q077,two_device_comparison,Which phone has more RAM: the Nokia C32 or the Galaxy Z Flip 7 Pro?,Galaxy Z Flip 7 Pro (8),false,0,0.0,0.0,0.0,5848,false,
Q078,two_device_comparison,Which phone has a bigger battery: the Xperia Pro 42 Ultra or the Xiaomi Redmi Note 10?,Xperia Pro 42 Ultra (5400),false,0,0.0,0.0,0.0,579,false,
Q079,two_device_comparison,Which phone has more storage: the Black Shark 5 29 SE or the Samsung Galaxy A30s?,Black Shark 5 29 SE (256),false,0,0.0,0.0,0.0,543,false,
Q080,two_device_comparison,Which phone has more storage: the Pixel 6 53 Neo or the X7 66 SE?,Pixel 6 53 Neo (256),false,0,0.0,0.0,0.0,571,false,
Q081,two_device_comparison,Which phone is newer: the Nokia G3 16 Lite or the Galaxy F0 84+?,Nokia G3 16 Lite (2021),false,0,0.0,0.0,0.0,1000,false,
Q082,two_device_comparison,Which phone has more RAM: the Magic 4 9 Neo or the Desire 22 21 SE?,Magic 4 9 Neo (16),false,0,0.0,0.0,0.0,2448,false,
Q083,two_device_comparison,Which phone has more RAM: the Spark 8 29 Neo or the TCL 50 90 Max?,Spark 8 29 Neo (6),false,0,0.0,0.0,0.0,4687,false,
Q084,two_device_comparison,Which phone is newer: the Hot 20 22 SE or the Y15 13 Pro?,Y15 13 Pro (2023),true,2,0.0,0.0,0.0,2580,false,
Q085,two_device_comparison,Which phone is cheaper: the Magic 5 35 Lite or the Fairphone 5 61 5G?,Fairphone 5 61 5G (399),false,0,0.0,0.0,0.0,674,false,
Q086,two_device_comparison,Which phone has more storage: the Xiaomi Mi 11 or the Phone 2a 18?,Phone 2a 18 (512),false,0,0.0,0.0,0.0,559,false,
